"id","model_id","main_crop","intervention_recla","intervention_recla_detail_1","intervention_recla_detail_2","intervention_recla_detail_3","intervention_recla_detail_4","factor","factor_class","factor_sub_class","factor_context","y_metric_recla","effect_size_type","x_metric_raw","x_metric_recla","x_metric_unit","x_data_type","x_transformation","model_analysis_raw","model_method","coefficient_type","coefficient","coefficient_num","variance_metric","variance_value","variance_value_num","z_t_value","z_t_value_num","p_value","p_value_num","df_original","n_predictors","n_predictors_num","n_samples","n_samples_num","country","limitation","x_metric_unit_recla","factor_metric_unit"
"709",2,"nd","soil bund with contour cultivation",NA,NA,"perennial grass",NA,"soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Land cultivated is in the middle section mountain slopes (Ref : upslope)","soil slope","1= middle slope, upslope","categorical (binary)","none","Probit model","probit","marginal effect",0.21,0.21,"robust standard error","8.3000000000000004E-2",0.083,"na",NA,"0.05",0.05,"nd",16,16,240,240,"Uganda",NA,"1= medium slope, 0= otherwise","soil slope (1= medium slope, 0= otherwise)"
"754",1,"Maize","crop rotation and intercropping",NA,NA,NA,"n fixing","soil slope","biophysical","0","farm","diversity adoption (1= no, 2= yes)","partial correlation","Flat slope plot","soil slope","1= flat, 0= steep slope","categorical (binary)","none","multinomial logit model","logit","coefficient value",-0.744,0.744,"standard error","0.38900000000000001",0.389,"nd",NA,"0.1",0.1,"nd",27,27,2937,2937,"Malawi",NA,"1= steep slope, 0= otherwise","soil slope (1= steep slope, 0= otherwise)"
"754",1,"Maize","crop rotation and intercropping",NA,NA,NA,"n fixing","soil slope","biophysical","0","farm","diversity adoption (1= no, 2= yes)","partial correlation","Moderately slope plot","soil slope","1= moderately, 0= steep slope","categorical (binary)","none","multinomial logit model","logit","coefficient value",-0.119,-0.119,"standard error","0.41699999999999998",0.417,"nd",NA,"nd",NA,"nd",27,27,2937,2937,"Malawi",NA,"1= moderate slope, 0= otherwise","soil slope (1= moderate slope, 0= otherwise)"
"754",2,"Maize","crop rotation and intercropping",NA,NA,NA,"n fixing","soil slope","biophysical","0","farm","diversity adoption (1= no, 2= yes)","partial correlation","Flat slope plot","soil slope","1= flat, 0= steep slope","categorical (binary)","none","multinomial logit model","logit","coefficient value",-0.739,0.739,"standard error","0.44800000000000001",0.448,"nd",NA,"0.1",0.1,"nd",27,27,2937,2937,"Malawi",NA,"1= steep slope, 0= otherwise","soil slope (1= steep slope, 0= otherwise)"
"754",2,"Maize","crop rotation and intercropping",NA,NA,NA,"n fixing","soil slope","biophysical","0","farm","diversity adoption (1= no, 2= yes)","partial correlation","Moderately slope plot","soil slope","1= moderately, 0= steep slope","categorical (binary)","none","multinomial logit model","logit","coefficient value",0.01,0.01,"standard error","0.46100000000000002",0.461,"nd",NA,"nd",NA,"nd",27,27,2937,2937,"Malawi",NA,"1= moderate slope, 0= otherwise","soil slope (1= moderate slope, 0= otherwise)"
"800",1,"nd","agroforestry and fallow","hedgerow",NA,"grass or weedy buffer strips",NA,"soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Slope (percent)","soil slope","percent","continuous","none","Probit model","probit","coefficient value",0.02,0.02,"p value","0.05",0.05,"nd",NA,"0.05",0.05,"nd",8,8,70,70,"Philippines",NA,"percentage","soil slope (percentage)"
"800",2,"nd","agroforestry and fallow","hedgerow",NA,"grass or weedy buffer strips",NA,"soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Slope (percent)","soil slope","percent","continuous","none","Probit model","probit","coefficient value",0.05,0.05,"p value","0.01",0.01,"nd",NA,"0.01",0.01,"nd",8,8,70,70,"Philippines",NA,"percentage","soil slope (percentage)"
"804",1,"Corn","agroforestry","hedgerow",NA,NA,NA,"soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Plot slope (°)","soil slope","grade","continuous","none","probit regressions","probit","coefficient value",-0.0027,-0.0027,"standard error","1.66E-2",0.0166,"nd",NA,"nd",NA,"nd",14,14,89,89,"Philippines",NA,"grade","soil slope (grade)"
"826",1,"nd","agroforestry","hedgerow",NA,NA,NA,"soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","SLOPE of farm","soil slope","percentage","continuous","none","Probit model","probit","coefficient value",0.02,0.02,"standard error","0.01",0.01,"nd",NA,"4.8000000000000001E-2",0.048,"nd",8,8,268,268,"Philippines",NA,"percentage","soil slope (percentage)"
"895",1,"Corn","crop rotation",NA,NA,"annual crops","n fixing","soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Slope of field","soil slope","percentage","continuous","none","multinomial logit model","logit","marginal effect",0.0212,0.0212,"standard error","8.9999999999999993E-3",0.009,"nd",NA,"0.05",0.05,"nd",15,15,539,539,"USA",NA,"percentage","soil slope (percentage)"
"940",1,"Rubber","agroforestry","alley cropping","intercropping",NA,NA,"soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Flatland (Proportion of flat rubber land in total rubber land area)","soil slope","proportion","continuous","none","multinomial logit model","logit","coefficient value",0.306,0.306,"standard error","0.495",0.495,"nd",NA,"nd",NA,"nd",15,15,612,612,"China",NA,"percentage","soil slope (percentage)"
"940",2,"Rubber","agroforestry","alley cropping","intercropping",NA,NA,"soil slope","biophysical","0","farm","intensity (area under diversified farming system)","partial correlation","Flatland (Proportion of flat rubber land in total rubber land area)","soil slope","proportion","continuous","none","Tobit regression model","tobit","coefficient value",0.108,0.108,"standard error","0.21",0.21,"nd",NA,"nd",NA,"nd",15,15,612,612,"China",NA,"percentage","soil slope (percentage)"
"941",1,"Rice, wheat","crop rotation and intercropping",NA,NA,NA,"n fixing","soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","land slope","soil slope","1= gentle slope, 0= medium/steep slope","categorical (binary)","none","Multivariate probit model","probit","coefficient value",-0.234,-0.234,"standard error","9.0999999999999998E-2",0.091,"nd",NA,"0.05",0.05,"nd",28,28,1926,1926,"India",NA,"1= gentle slope, 0= medium/steep slope","soil slope (1= gentle slope, 0= medium/steep slope)"
"947",1,"nd","crop rotation","cover crops",NA,NA,NA,"soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Slope","soil slope","1= steep slope, 0= otherwise","categorical (binary)","none","double-hurdle model, truncated model","truncated","coefficient value",0.141,0.141,"standard error","-0.21540000000000001",-0.2154,"nd",NA,"nd",NA,"nd",13,13,34,34,"Nigeria",NA,"1= steep slope, 0= otherwise","soil slope (1= steep slope, 0= otherwise)"
"947",2,"nd","crop rotation",NA,NA,NA,NA,"soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Slope","soil slope","1= steep slope, 0= otherwise","categorical (binary)","none","double-hurdle model, truncated model","truncated","coefficient value",0.65,0.65,"standard error","0.57799999999999996",0.578,"nd",NA,"nd",NA,"nd",13,13,72,72,"Nigeria",NA,"1= steep slope, 0= otherwise","soil slope (1= steep slope, 0= otherwise)"
"964",1,"nd","crop rotation",NA,NA,NA,"n fixing","soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","std slope Standard deviation of slope within the counties farmers operate","soil slope",NA,"continuous","none","multinomial logistic model","logit","coefficient value",0.198,0.198,"standard error","0.11600000000000001",0.116,"nd",NA,"0.1",0.1,"nd",18,18,2091,2091,"USA",NA,NA,"soil slope (NA)"
